track-name,artist,album-name,album-artist-name,disc-number,track-number,track-duration,explicit,popularity,artist-genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time-signature,label,album-release-year,decade,chords
Gorgeous,Taylor Swift,reputation,Taylor Swift,1,8,209680.0,False,0.0,pop,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,4.0,"Big Machine Records, LLC",2017,2010,
I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift,Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,1,1,245653.0,False,66.0,"pop,uk pop,pop",0.735,0.443,0.0,-8.432,1.0,0.0556,0.0601,1.91e-05,0.213,0.107,117.968,4.0,Fifty Shades Darker,2017,2010,
Getaway Car,Taylor Swift,reputation,Taylor Swift,1,9,233626.0,False,0.0,pop,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,4.0,"Big Machine Records, LLC",2017,2010,
22,Taylor Swift,Red,Taylor Swift,1,6,232120.0,False,0.0,pop,0.662,0.736,7.0,-6.511,1.0,0.0374,0.00274,0.000844,0.0464,0.674,104.003,4.0,Universal Music Group,2012,2010,
Love Story,Taylor Swift,Fearless,Taylor Swift,1,3,235266.0,False,63.0,pop,0.618,0.741,2.0,-3.95,1.0,0.031,0.17,0.0,0.0822,0.296,118.984,4.0,"Big Machine Records, LLC",2008,2000,
Wildest Dreams,Taylor Swift,1989,Taylor Swift,1,9,220440.0,False,64.0,pop,0.554,0.666,8.0,-7.414,1.0,0.0747,0.0702,0.00593,0.106,0.472,140.056,4.0,"Big Machine Records, LLC",2014,2010,
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),Taylor Swift,1,21,229477.0,False,76.0,pop,0.599,0.651,0.0,-7.343,1.0,0.035,0.0486,0.0,0.126,0.153,100.001,4.0,Taylor Swift,2023,2020,
Cruel Summer,Taylor Swift,Lover,Taylor Swift,1,2,178426.0,False,90.0,pop,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,4.0,Taylor Swift,2019,2010,
Shake It Off,Taylor Swift,1989,Taylor Swift,1,6,219200.0,False,69.0,pop,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015,4.0,"Big Machine Records, LLC",2014,2010,
willow - dancing witch version (Elvira remix),Taylor Swift,willow [dancing witch version (Elvira remix)],Taylor Swift,1,1,184819.0,False,54.0,pop,0.429,0.567,4.0,-10.157,0.0,0.272,0.449,1.5e-05,0.536,0.67,83.922,4.0,Taylor Swift,2020,2020,
Love Story,Taylor Swift,Fearless - Platinum Edition,Taylor Swift,1,9,235280.0,False,54.0,pop,0.618,0.736,2.0,-3.937,1.0,0.0308,0.157,0.0,0.073,0.307,118.982,4.0,"Big Machine Records, LLC",2008,2000,
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,1,1,277591.0,False,64.0,pop,0.661,0.819,11.0,-6.269,0.0,0.0519,0.167,0.0,0.0647,0.724,135.937,4.0,Taylor Swift,2021,2020,
Style,Taylor Swift,1989 (Deluxe),Taylor Swift,1,3,231000.0,False,77.0,pop,0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,4.0,"Big Machine Records, LLC",2014,2010,
Everything Has Changed,Taylor Swift,Red,Taylor Swift,1,14,245413.0,False,0.0,"pop,pop,singer-songwriter pop,uk pop",0.631,0.475,6.0,-6.66,1.0,0.0283,0.349,2.57e-06,0.336,0.426,80.029,4.0,Universal Music Group,2012,2010,
You Belong With Me,Taylor Swift,Fearless (Platinum Edition),Taylor Swift,1,12,231146.0,False,0.0,pop,0.687,0.771,6.0,-4.424,1.0,0.0384,0.164,2.46e-05,0.112,0.445,129.964,4.0,Universal Music Group,2008,2000,
We Are Never Ever Getting Back Together,Taylor Swift,Red,Taylor Swift,1,8,191880.0,False,57.0,pop,0.628,0.676,7.0,-5.911,1.0,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,4.0,"Big Machine Records, LLC",2012,2010,
Shake It Off,Taylor Swift,1989,Taylor Swift,1,6,219200.0,False,0.0,pop,0.648,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.02,4.0,Universal Music Group,2014,2010,
I Knew You Were Trouble,Taylor Swift,Red,Taylor Swift,1,4,219720.0,False,0.0,pop,0.499,0.467,6.0,-6.744,1.0,0.0461,0.00593,1.65e-06,0.0361,0.637,76.76,4.0,Universal Music Group,2012,2010,
Lover,Taylor Swift,Lover,Taylor Swift,1,3,221306.0,False,84.0,pop,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4.0,Taylor Swift,2019,2010,
willow,Taylor Swift,evermore,Taylor Swift,1,1,214706.0,False,69.0,pop,0.392,0.579,7.0,-9.195,1.0,0.164,0.835,0.00179,0.145,0.549,80.961,4.0,Taylor Swift,2020,2020,
Crazier,Taylor Swift,Hannah Montana The Movie,Various Artists,1,12,191946.0,False,0.0,pop,0.447,0.541,4.0,-5.374,1.0,0.0274,0.0707,8.48e-06,0.119,0.218,133.109,3.0,Universal Music Group,2009,2000,
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,1,1,220839.0,False,55.0,"pop,classic texas country,contemporary country",0.589,0.496,2.0,-7.606,1.0,0.0377,0.818,0.0,0.101,0.44,142.731,4.0,Taylor Swift,2021,2020,
...Ready For It?,Taylor Swift,reputation,Taylor Swift,1,1,208186.0,False,0.0,pop,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,4.0,"Big Machine Records, LLC",2017,2010,
Call It What You Want,Taylor Swift,reputation,Taylor Swift,1,14,203506.0,False,0.0,pop,0.598,0.504,9.0,-9.874,1.0,0.0731,0.186,0.000221,0.34,0.252,163.954,4.0,"Big Machine Records, LLC",2017,2010,
Shake It Off,Taylor Swift,1989 (Deluxe),Taylor Swift,1,6,219200.0,False,78.0,pop,0.647,0.8,7.0,-5.384,1.0,0.165,0.0647,0.0,0.334,0.942,160.078,4.0,"Big Machine Records, LLC",2014,2010,
Love Story - US Album Version,Taylor Swift,Fearless (Platinum Edition),Taylor Swift,1,9,235280.0,False,0.0,pop,0.618,0.736,2.0,-3.937,1.0,0.0308,0.157,0.0,0.073,0.307,118.982,4.0,Universal Music Group,2008,2000,
Begin Again,Taylor Swift,Red,Taylor Swift,1,16,237613.0,False,55.0,pop,0.53,0.526,7.0,-8.349,1.0,0.0263,0.199,3.52e-06,0.232,0.323,79.025,4.0,"Big Machine Records, LLC",2012,2010,
